#{"t_start": 1762788408.883086, "env_id": "None"}
r,l,t
-49.938054,1,56.088198
-49.938054,1,56.199266
-49.938054,1,56.310286
-49.938054,1,56.42153
-49.938054,1,56.53267
-49.938054,1,56.643725
-49.938054,1,56.75661
-49.938054,1,56.86779
-49.938054,1,56.979006
-49.938054,1,57.093374
-49.938054,1,57.204485
-49.938054,1,57.315447
-49.938054,1,57.426616
-49.938054,1,57.538669
-49.938054,1,57.649792
-49.938054,1,57.760785
-49.938054,1,57.871859
-49.938054,1,57.982776
-49.938054,1,58.094074
-49.938054,1,58.208112
-49.938054,1,58.319434
-49.938054,1,58.430547
-49.938054,1,58.541831
-49.938054,1,58.652976
-49.938054,1,58.764014
-49.938054,1,58.875078
-49.938054,1,58.986232
-49.938054,1,59.097371
-49.938054,1,59.209686
-49.938054,1,59.323261
-49.938054,1,59.434381
-49.938054,1,59.545528
-49.938054,1,59.656847
-49.938054,1,59.767956
-49.938054,1,59.878951
-49.938054,1,59.990389
-49.938054,1,60.101556
-49.938054,1,60.212588
-49.938054,1,60.323708
-49.938054,1,60.438128
-49.938054,1,60.549217
-49.938054,1,60.660305
-49.938054,1,60.771844
-49.938054,1,60.883139
-49.938054,1,60.994473
-49.938054,1,61.105681
-49.938054,1,61.216635
-49.938054,1,61.327589
-49.938054,1,61.438945
-49.938054,1,61.552434
-49.938054,1,61.663629
-49.938054,1,61.774995
-49.938054,1,61.886051
-49.938054,1,61.997379
-49.938054,1,62.108989
-49.938054,1,62.220329
-49.938054,1,62.331468
-49.938054,1,62.442692
-49.938054,1,62.553873
-49.938054,1,62.667613
-49.938054,1,62.778639
-49.938054,1,62.890499
-49.938054,1,63.00151
-49.938054,1,63.11286
-49.938054,1,63.224385
-49.938054,1,63.33547
-49.938054,1,63.446841
-49.938054,1,63.558529
-49.938054,1,63.669573
-49.938054,1,63.783428
-49.938054,1,63.894695
-49.938054,1,64.005718
-49.938054,1,64.117644
-49.938054,1,64.228968
-49.938054,1,64.33995
-49.938054,1,64.451115
-49.938054,1,64.562191
-49.938054,1,64.673208
-49.938054,1,64.784298
-49.938054,1,64.898497
-49.938054,1,65.010436
-49.938054,1,65.121447
-49.938054,1,65.232545
-49.938054,1,65.344503
-49.938054,1,65.455791
-49.938054,1,65.566967
-49.938054,1,65.678416
-49.938054,1,65.789455
-49.938054,1,65.900466
-49.938054,1,66.01535
-49.938054,1,66.126688
-49.938054,1,66.237738
-49.938054,1,66.348784
-49.938054,1,66.460119
-49.938054,1,66.572295
-49.938054,1,66.683383
-49.938054,1,66.79497
-49.938054,1,66.906057
-49.938054,1,67.017392
-49.938054,1,67.132579
-49.938054,1,67.243786
-49.938054,1,67.355212
-49.938054,1,67.466434
-49.938054,1,67.577579
-49.938054,1,67.688786
-49.938054,1,67.800718
-49.938054,1,67.912157
-49.938054,1,68.023344
-49.938054,1,68.134438
-49.938054,1,68.249858
-49.938054,1,68.361084
-49.938054,1,68.472092
-49.938054,1,68.58323
-49.938054,1,68.694323
-49.938054,1,68.805361
-49.938054,1,68.91631
-49.938054,1,69.027363
-49.938054,1,69.138651
-49.938054,1,69.249641
-49.938054,1,69.364061
-49.938054,1,69.475203
-49.938054,1,69.586588
-49.938054,1,69.697934
-49.938054,1,69.808874
-49.938054,1,69.919937
-49.938054,1,70.031583
-49.938054,1,70.142596
-49.938054,1,70.253557
-49.938054,1,70.365279
-49.938054,1,70.478997
-49.938054,1,70.590386
-49.938054,1,70.701661
-49.938054,1,70.812551
-49.938054,1,70.923606
-49.938054,1,71.034712
-49.938054,1,71.145814
-49.938054,1,71.257145
-49.938054,1,71.368371
-49.938054,1,71.480598
-49.938054,1,71.594777
-49.938054,1,71.705931
-49.938054,1,71.81742
-49.938054,1,71.928553
-49.938054,1,72.039556
-49.938054,1,72.15128
-49.938054,1,72.262549
-49.938054,1,72.373743
-49.938054,1,72.485049
-49.938054,1,72.596167
-49.938054,1,72.711843
-49.938054,1,72.822996
-49.938054,1,72.934398
-49.938054,1,73.045416
-49.938054,1,73.156493
-49.938054,1,73.267735
-49.938054,1,73.378741
-49.938054,1,73.489815
-49.938054,1,73.601154
-49.938054,1,73.712208
-49.938054,1,73.825951
-49.938054,1,73.937542
-49.938054,1,74.048482
-49.938054,1,74.159523
-49.938054,1,74.270729
-49.938054,1,74.381752
-49.938054,1,74.492876
-49.938054,1,74.604151
-49.938054,1,74.715278
-49.938054,1,74.826311
-49.938054,1,74.940118
-49.938054,1,75.051753
-49.938054,1,75.163756
-49.938054,1,75.275058
-49.938054,1,75.386464
-49.938054,1,75.4976
-49.938054,1,75.608708
-49.938054,1,75.720341
-49.938054,1,75.831666
-49.938054,1,75.942658
-49.938054,1,76.05719
-49.938054,1,76.168467
-49.938054,1,76.280123
-49.938054,1,76.393788
-49.938054,1,76.504948
-49.938054,1,76.615932
-49.938054,1,76.727279
-49.938054,1,76.838406
-49.938054,1,76.949447
-49.938054,1,77.060506
-49.938054,1,77.175105
-49.938054,1,77.286676
-49.938054,1,77.39774
-49.938054,1,77.509164
-49.938054,1,77.620243
-49.938054,1,77.731294
-49.938054,1,77.842428
-49.938054,1,77.953985
-49.938054,1,78.065323
-49.938054,1,78.176422
-49.938054,1,78.291787
-49.938054,1,78.402951
-49.938054,1,78.514021
-49.938054,1,78.625432
-49.938054,1,78.736562
-49.938054,1,78.847535
-49.938054,1,78.958819
-49.938054,1,79.069844
-49.938054,1,79.18114
-49.938054,1,79.292217
-49.938054,1,79.406853
-49.938054,1,79.518252
-49.938054,1,79.629494
-49.938054,1,79.74053
-49.938054,1,79.852617
-49.938054,1,79.96468
-49.938054,1,80.07882
-49.938054,1,80.191131
-49.938054,1,80.302543
-49.938054,1,80.414146
-49.938054,1,80.529439
-49.938054,1,80.640953
-49.938054,1,80.75203
-49.938054,1,80.863421
-49.938054,1,80.974575
-49.938054,1,81.085639
-49.938054,1,81.19682
-49.938054,1,81.30826
-49.938054,1,81.419354
-49.938054,1,81.530439
-49.938054,1,81.645129
-49.938054,1,81.75643
